,Unnamed: 0,P_name,P_mass,Radius
0,0,SDSS J000013.54+255418.6 [de],0.045820224,0.1017353699999999
1,1,2MASS J00040288-6410358,0.018137172,0.1675036899999999
2,2,2MASS J00242463-0158201,0.075412452,0.11201167
3,3,2MASS J00274197+0503417,0.029592228,0.1479787199999999
4,4,2MASSW J0030300-145033,0.051547752,0.1007077399999999
5,5,2MASS J00332386-1521309 [de],0.027683052,0.1469510899999999
6,6,2MASS J00345157+0523050,0.040092696,0.0965972199999999
7,7,2MASS 0036+1821,0.040092696,0.0965972199999999
8,8,2MASSW J0045214+163445,0.021955524,0.16647606
9,9,WISEP J004701.06+680352.1 [fr],0.011455056,0.1335918999999999
10,10,2MASS J00501994-3322402 [de],0.03818352,0.0965972199999999
11,11,2MASS J00584253-0651239 [de],0.027683052,0.1469510899999999
12,12,2MASSI J0103320+193536,0.049638576,0.1007077399999999
13,13,SDSSp J010752.33+004156.1 [de],0.049638576,0.1007077399999999
14,14,2MASSI J0117474-340325 [de],0.01909176,0.16647606
15,15,2MASS J01415823-4633574 [de],0.01909176,0.16544843
16,16,SDSS J015141.69+124429.6,0.044865636,0.0996801099999999
17,17,SDSS J020742.48+000056.2 [de],0.044865636,0.0996801099999999
18,18,2MASS J02103857-3015313,0.01431882,0.15722739
19,19,2MASS J02340093-6442068,0.01909176,0.16647606
20,20,2MASS J02411151-0326587 [de],0.025773876,0.1448958299999999
21,21,2MASS J02431371−2453298,0.031501404,0.1017353699999999
22,22,LP 771-21,0.074457864,0.11098404
23,23,Teegarden's star,0.07636704,0.1305090099999999
24,24,2MASS J02535980+3206373,0.06204822,0.1952496999999999
25,25,WISE J0254+0223,0.06204822,0.1952496999999999
26,26,DEN 0255-4700,0.07636704,0.0996801099999999
27,27,2MASS J03185403-3421292 [de],0.046774812,0.0996801099999999
28,28,2MASS J03205965+1854233,0.084003744,0.1181774499999999
29,29,2MASS J03231002-4631237,0.021955524,0.17058658
30,30,SDSS J032553.17+042540.1,0.04295646,0.0976248499999999
31,31,2MASS J03264225-2102057 [de],0.017182584,0.1335918999999999
32,32,2MASS J03284265+2302051 [de],0.051547752,0.1007077399999999
33,33,2MASS J03341218-4953322,0.069684924,0.10687352
34,34,LP 944-20,0.069684924,0.1469510899999999
35,35,2MASP J0345432+254023,0.070639512,0.10790115
36,36,Teide 1,0.05250234,0.3884441399999999
37,37,2MASS J03510004-0052452,0.097367976,0.1305090099999999
38,38,2MASS J03552337+1133437,0.01909176,0.13564716
39,39,2MASS J04151954−0935066,0.02863764,0.0976248499999999
40,40,2MASS J04285096-2253227 [de],0.07636704,0.11201167
41,41,2MASS J04351612-1606574,0.0954588,0.1294813799999999
42,42,2MASS J04362788-4114465,0.037228932,0.2024431099999999
43,43,2MASS J04390101-2353083 [de],0.045820224,0.0996801099999999
44,44,2MASS J04433764+0002040,0.021000936,0.1829181399999999
45,45,2MASS J04455387-3048204 [de],0.061093632,0.102763
46,46,2MASS J04510093-3402150 [de],0.00099277152,7.398935999999999
47,47,2MASS J05002100+0330501 [de],0.061093632,0.102763
48,48,2MASS J05012406-0010452 [de],0.020046348,0.1418129399999999
49,49,2MASS J05160945-0445499 [de],0.044865636,0.0996801099999999
50,50,2MASS J0523−1403,0.064911984,0.10379063
51,51,SDSS J053951.99-005902.0,0.058229868,0.10379063
52,52,LSR 0602+3910 [de],0.026728464,0.1448958299999999
53,53,2MASS J06085283-2753583,0.036274344,0.15517213
54,54,2MASS J06244595-4521548 [de],0.053456928,0.1017353699999999
55,55,2MASS J06411840-4322329 [de],0.063957396,0.10379063
56,56,DENIS-P J0652197-253450 [de],0.0715941,0.10790115
57,57,2MASS J07075327-4900503,0.068730336,0.10584589
58,58,UGPS J072227.51-054031.2,0.024819288,0.1007077399999999
59,59,2MASSI J0727182+171001 [de],0.039138108,0.0965972199999999
60,60,2MASS J07290002-3954043 [de],0.035319756,0.0965972199999999
61,61,SDSS J074201.41+205520.5 [de],0.041047284,0.0965972199999999
62,62,DENIS-P J0751164-253043 [de],0.067775748,0.10584589
63,63,2MASS J07522390+1612157,0.00191872188,6.987883999999999
64,64,DENIS J081730.0-615520,0.042001872,0.0965972199999999
65,65,2MASS J08251968+2115521 [de],0.049638576,0.1007077399999999
66,66,SDSSp J083008.12+482847.4 [de],0.045820224,0.1017353699999999
67,67,LHS 2021,0.084003744,0.1181774499999999
68,68,SDSS J083048.80+012831.1 [de],0.043911048,0.0986524799999999
69,69,2MASSI J0835425-081923 [de],0.059184456,0.102763
70,70,2MASSI J0847287-153237 [de],0.061093632,0.102763
71,71,2MASS J08533619-0329321,0.073503276,0.10995641
72,72,2MASSI J0859254-194926 [de],0.0477294,0.1007077399999999
73,73,2MASSI J0937347+293142,0.040092696,0.0965972199999999
74,74,2MASS 0939−2448,0.030546816,0.0976248499999999
75,75,2MASS J09490860-1545485 [de],0.046774812,0.0986524799999999
76,76,2MASS J10073369-4555147,0.042001872,0.0965972199999999
77,77,2MASSI J1010148-040649 [de],0.048683988,0.1007077399999999
78,78,2MASS J10224821+5825453 [de],0.025773876,0.1448958299999999
79,79,2MASSW J1036530-344138 [de],0.046774812,0.0996801099999999
80,80,2MASS J1047538+212423 [de],0.040092696,0.0965972199999999
81,81,DEN 1048-3956,0.073503276,0.10995641
82,82,Luhman 16B,0.041047284,0.10481826
83,83,Luhman 16A,0.03818352,0.10379063
84,84,DENIS-P J1058.7−1548,0.061093632,0.102763
85,85,TWA 28,0.034365168,0.24560357
86,86,Cha 110913-773444,0.007636704,0.1849733999999999
87,87,SDSS J111010.01+011613.1,0.008591292,0.12742612
88,88,2MASS J11145133−2618235,0.031501404,0.0986524799999999
89,89,TWA 26,0.02863764,0.2260786
90,90,2MASS J11544223-3400390 [de],0.035319756,0.1541445
91,91,2MASSW J1155395-372735 [de],0.061093632,0.102763
92,92,2MASS J12074836-3900043,0.016227996,0.17572473
93,93,2MASSI J1217110-031113 [de],0.040092696,0.0965972199999999
94,94,2M 1237+6526,0.039138108,0.0965972199999999
95,95,TWA 29,0.001909176,2.569075
96,96,SDSSp J125453.90-012247.4 [de],0.044865636,0.1007077399999999
97,97,Kelu-1A,0.060139044,0.1007077399999999
98,98,Kelu-1B,0.055366104,0.1007077399999999
99,99,2MASS J13204427+0409045,0.063957396,0.10379063
100,100,SDSSp J132629.82-003831.5 [de],0.048683988,0.0996801099999999
101,101,SDSSp J134646.45-003150.4 [de],0.042001872,0.0965972199999999
102,102,2MASS J13595510-4034582,0.060139044,0.102763
103,103,ULAS J141623.94+134836.3,0.030546816,0.0986524799999999
104,104,SDSS J141659.78+500626.4 [de],0.056320692,0.1017353699999999
105,105,DENIS-P J142527.97-365023.4 [de],0.020046348,0.13564716
106,106,LHS 2924,0.072548688,0.10892878
107,107,2MASS J14392837+1929150,0.068730336,0.10584589
108,108,LSPM J1440+1339,0.087822096,0.1222879699999999
109,109,2MASS J14482563+1031590 [de],0.056320692,0.1017353699999999
110,110,CFBDSIR 1458+10A,0.0105959268,0.1541445
111,111,CFBDSIR 1458+10B,0.008591292,0.1335918999999999
112,112,TVLM 513-46546,0.0715941,0.10790115
113,113,2MASS 1503+2525,0.042001872,0.0965972199999999
114,114,CFBDS J150411+102717,0.042001872,0.0965972199999999
115,115,2MASSW J1506544+132106 [de],0.065866572,0.10481826
116,116,2MASS 1507−1627,0.05727528,0.1017353699999999
117,117,TVLM 868-110639,0.075412452,0.11098404
118,118,2MASSW J1515008+484742 [de],0.054411516,0.1017353699999999
119,119,2MASSI J1526140+204341 [de],0.051547752,0.1007077399999999
120,120,DENIS-P J153941.96-052042.4 [de],0.060139044,0.102763
121,121,2MASS J15462718-3325111 [de],0.042001872,0.0965972199999999
122,122,2MASSW J1552591+294849 [de],0.02863764,0.1469510899999999
123,123,2MASSW J1555157-095605 [de],0.067775748,0.10584589
124,124,2MASS J16150413+1340079 [de],0.040092696,0.0965972199999999
125,125,SDSSp J162414.37+002915.6 [de],0.041047284,0.0965972199999999
126,126,2MASS J16262034+3925190 [de],0.067775748,0.10584589
127,127,2MASSW J1632291+190441 [de],0.046774812,0.0996801099999999
128,128,WISEPA J164715.59+563208.2,0.039138108,0.0965972199999999
129,129,LSPM J1658+7027 [de],0.069684924,0.10687352
130,130,2MASSI J1726000+153819,0.022910112,0.1438681999999999
131,131,SDSSp J175032.96+175903.9,0.044865636,0.0996801099999999
132,132,2MASS J18283572-4849046,0.04295646,0.0976248499999999
133,133,LSR J1835+3259,0.073503276,0.10995641
134,134,2MASSW J1841086+311727,0.063957396,0.10379063
135,135,2MASS J18432213+4040209,0.091640448,0.12537086
136,136,2MASS J20004841-7523070,0.0238647,0.1931944399999999
137,137,SDSS J204749.61-071818.3,0.043911048,0.0986524799999999
138,138,2MASSI J2057540-025230,0.06682116,0.10481826
139,139,2MASSI J2104149-103736,0.065866572,0.10481826
140,140,PSO J318.5−22,0.006204822,0.15722739
141,141,HB 2124-4228,0.089731272,0.1243432299999999
142,142,2MASS J21392676+0220226,0.043911048,0.0986524799999999
143,143,2MASS J21481628+4003593,0.05250234,0.1017353699999999
144,144,2MASSW J2206450-421721,0.021000936,0.13667479
145,145,2MASSW J2208136+292121,0.025773876,0.1448958299999999
146,146,2MASSW J2224438-015852,0.058229868,0.1017353699999999
147,147,2MASS J22282889-4310262,0.040092696,0.0965972199999999
148,148,2MASS J22373255+3922398,0.069684924,0.10687352
149,149,2MASSW J2244316+204343,0.011455056,0.1325642699999999
150,150,2MASS J23224684-3133231,0.022910112,0.1428405699999999
151,151,2MASS J23225299-6151275,0.016227996,0.16339317
152,152,2MASS J23515044-2537367,0.084003744,0.1192050799999999
153,153,2MASSI J2356547-155310,0.07636704,0.11201167
154,154,WISE 0410+1502,0.005727528,0.1202327099999999
155,155,WISE 0458+6434A,0.01431882,0.4316046
156,156,WISE 0458+6434B,0.00954588,0.3904993999999999
157,157,WISE 1405+5534,0.02863764,0.08837618
